Current(A),Radius(m),MagneticField(T)
0.1,1.0,2.4967141530112327e-08
0.11998399679935988,1.0002000400080016,2.2609356988288154e-08
0.13996799359871975,1.0004000800160031,3.445928890030307e-08
0.1599519903980796,1.000600120024005,4.7201510079474095e-08
0.1799359871974395,1.0008001600320064,3.361689119779963e-08
0.1999199839967994,1.001000200040008,3.760267519469685e-08
0.21990398079615925,1.0012002400480096,5.972020008314584e-08
0.23988797759551914,1.0014002800560111,5.558485468265975e-08
0.25987197439487897,1.001600320064013,4.71966082477006e-08
0.2798559711942389,1.0018003600720145,6.129620746461366e-08
0.29983996799359874,1.002000400080016,5.521409618028026e-08
0.3198239647929586,1.0022004400880176,5.9167053761702627e-08
0.3398079615923185,1.0024004800960191,7.021846526205829e-08
0.3597919583916783,1.002600520104021,5.2638945358689374e-08
0.37977595519103824,1.0028005601120225,5.849388969800951e-08
0.39975995199039815,1.003000600120024,7.40899288559748e-08
0.41974394878975796,1.0032006401280256,7.355264592526993e-08
0.4397279455891179,1.0034006801360271,9.079000123663858e-08
0.4597119423884777,1.003600720144029,8.253227668548949e-08
0.4796959391878376,1.0038007601520305,8.145288965065666e-08
0.4996799359871975,1.004000800160032,1.1419424421441978e-07
0.5196639327865573,1.0042008401680336,1.0124024496326214e-07
0.5396479295859172,1.0044008801760351,1.081319639827486e-07
0.5596319263852771,1.004600920184037,9.716629750863405e-08
0.579615923184637,1.0048009601920385,1.0992547396916187e-07
0.5995999199839969,1.00500100020004,1.20432474304742e-07
0.6195839167833567,1.0052010402080416,1.1176568611632425e-07
0.6395679135827166,1.0054010802160431,1.3098340278592392e-07
0.6595519103820765,1.005601120224045,1.2516926458280918e-07
0.6795359071814363,1.0058011602320465,1.322063719690521e-07
0.6995199039807962,1.006001200240048,1.3305233137223776e-07
0.719503900780156,1.0062012402480496,1.615366983460834e-07
0.7394878975795159,1.0064012802560511,1.4682189517460439e-07
0.7594718943788759,1.006601320264053,1.4032114190280984e-07
0.7794558911782357,1.0068013602720545,1.6306351786730647e-07
0.7994398879775956,1.007001400280056,1.4656788451737362e-07
0.8194238847769554,1.0072014402880576,1.6480164488748547e-07
0.8394078815763153,1.0074014802960591,1.4705143220043975e-07
0.8593918783756752,1.007601520304061,1.5729983496465876e-07
0.879375875175035,1.0078015603120625,1.7648230826976706e-07
0.8993598719743949,1.008001600320064,1.8582880154117261e-07
